item_id,categoria,nombre_de_producto,precio_de_producto,descuento,url_producto 
230617Cal,Calzones,Calzon Under Control Liz,$19.990,$0,https://www.paris.cl/calzon-under-control-liz-230617.html?dwvar_230617_color=0001&cgid=mujIntCalzones
580472Cal,Calzones,Calzon Femenine Daily Women Secret,$9.990,$0,https://www.paris.cl/calzon-femenine-daily-womensecret-580472.html?dwvar_580472_color=0311&cgid=mujIntCalzones
460547Cal,Calzones,Calzon Control Anne Shantel,$16.790,$0,https://www.paris.cl/calzon-control-anne-shantel-460547.html?dwvar_460547_color=0001&cgid=mujIntCalzones
575008Cal,Calzones,Calzon S-401 Boxer Materno a La Cintura Sin Costuras Anne Shantel,$6.790,$0,https://www.paris.cl/calzon-s-401-boxer-materno-a-la-cintura-sin-costuras-anne-shantel-575008.html?dwvar_575008_color=0250&cgid=mujIntCalzones
976396Cal,Calzones,Calzon Bikini Sloggi,$12.990,$0,https://www.paris.cl/calzon-bikini-sloggi-976396.html?dwvar_976396_color=0999&cgid=mujIntCalzones
580480Cal,Calzones,Calzon Femenine Daily Women Secret,$9.990,$0,https://www.paris.cl/calzon-femenine-daily-womensecret-580480.html?dwvar_580480_color=0610&cgid=mujIntCalzones
580459Cal,Calzones,Calzon Black Ecru Encaje Women Secret,$9.990,$0,https://www.paris.cl/calzon-black-ecru-encaje-womensecret-580459.html?dwvar_580459_color=0211&cgid=mujIntCalzones
598045Cal,Calzones,Calzon Pantaleta Algodon Encaje Opposite,$4.490,$0,https://www.paris.cl/calzon-pantaleta-algodon-encaje-opposite-598045.html?dwvar_598045_color=0460&cgid=mujIntCalzones
230619Cal,Calzones,Calzon Reductor Liz,$20.990,$0,https://www.paris.cl/calzon-reductor-liz-230619.html?dwvar_230619_color=0001&cgid=mujIntCalzones
236534Cal,Calzones,Pack 3 Pantaleta Algodon Elasticado 96885 Intime,$8.990,$0,https://www.paris.cl/pack-3-pantaleta-algodon-elasticado-96885-intime-236534.html?dwvar_236534_color=0001&cgid=mujIntCalzones
